Participant,Mode,Events,RT
1,Manual,1,767
1,Manual,2,1048
1,Manual,3,724
1,Manual,4,743
1,Manual,5,844
1,Manual,6,773
1,Automated,1,1162
1,Automated,2,1069
1,Automated,3,1096
1,Automated,4,1130
1,Automated,5,1478
1,Automated,6,1310
2,Automated,1,736
2,Automated,2,778
2,Automated,3,890
2,Automated,4,447
2,Automated,5,681
2,Automated,6,828
2,Manual,1,343
2,Manual,2,433
2,Manual,3,763
2,Manual,4,436
2,Manual,5,692
2,Manual,6,944
3,Automated,1,2081
3,Automated,2,1294
3,Automated,3,937
3,Automated,4,1287
3,Automated,5,1661
3,Automated,6,1330
3,Manual,1,1055
3,Manual,2,1222
3,Manual,3,1233
3,Manual,4,1255
3,Manual,5,1018
3,Manual,6,979
4,Manual,1,674
4,Manual,2,921
4,Manual,3,1402
4,Manual,4,
4,Manual,5,783
4,Manual,6,829
4,Automated,1,1126
4,Automated,2,1407
4,Automated,3,864
4,Automated,4,944
4,Automated,5,1054
4,Automated,6,1099
5,Automated,1,704
5,Automated,2,625
5,Automated,3,571
5,Automated,4,646
5,Automated,5,757
5,Automated,6,904
5,Manual,1,566
5,Manual,2,763
5,Manual,3,575
5,Manual,4,809
5,Manual,5,834
5,Manual,6,1102
6,Manual,1,1530
6,Manual,2,1117
6,Manual,3,1203
6,Manual,4,946
6,Manual,5,1252
6,Manual,6,1305
6,Automated,1,2087
6,Automated,2,1517
6,Automated,3,1190
6,Automated,4,1097
6,Automated,5,1297
6,Automated,6,1391
7,Automated,1,478
7,Automated,2,492
7,Automated,3,642
7,Automated,4,381
7,Automated,5,447
7,Automated,6,520
7,Manual,1,588
7,Manual,2,351
7,Manual,3,576
7,Manual,4,340
7,Manual,5,690
7,Manual,6,324
8,Automated,1,990
8,Automated,2,762
8,Automated,3,684
8,Automated,4,737
8,Automated,5,423
8,Automated,6,631
8,Manual,1,480
8,Manual,2,557
8,Manual,3,812
8,Manual,4,436
8,Manual,5,801
8,Manual,6,434
9,Manual,1,1755
9,Manual,2,1820
9,Manual,3,1397
9,Manual,4,1635
9,Manual,5,1230
9,Manual,6,1671
9,Automated,1,1362
9,Automated,2,1504
9,Automated,3,1592
9,Automated,4,1582
9,Automated,5,1778
9,Automated,6,1641
10,Manual,1,1086
10,Manual,2,603
10,Manual,3,630
10,Manual,4,633
10,Manual,5,452
10,Manual,6,478
10,Automated,1,487
10,Automated,2,497
10,Automated,3,429
10,Automated,4,551
10,Automated,5,442
10,Automated,6,706
11,Automated,1,1083
11,Automated,2,1110
11,Automated,3,1110
11,Automated,4,961
11,Automated,5,1029
11,Automated,6,944
11,Manual,1,430
11,Manual,2,550
11,Manual,3,552
11,Manual,4,566
11,Manual,5,482
11,Manual,6,820
12,Automated,1,
12,Automated,2,1451
12,Automated,3,1317
12,Automated,4,1442
12,Automated,5,1337
12,Automated,6,1353
12,Manual,1,1534
12,Manual,2,1879
12,Manual,3,1795
12,Manual,4,1764
12,Manual,5,1401
12,Manual,6,1926
